area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Martinique,Martinique,MTQ,mean,76152,73069,105723,141746,224839,269369,314988,406641,502218,550895,599706,701617,807406,1,2
America,Martinique,Martinique,MTQ,high,76152,100940,152656,211952,341026,406328,474185,613369,760689,837885,918431,1092262,1293718,1,3
America,Mexico,Mexico,MEX,low,39994737,32206712,47616486,63435472,96565704,113897840,131598133,167948897,206183858,226735946,249731373,266721634,266721634,1,1
America,Mexico,Mexico,MEX,mean,39994737,41899253,62614938,84136356,129773963,153484812,177869560,230272299,266721634,266721634,266721634,266721634,266721634,1,2
America,Mexico,Mexico,MEX,high,39994737,51767724,78035177,105703453,164165426,194993371,228047563,266721634,266721634,266721634,266721634,266721634,266721634,1,3
America,Montserrat,Montserrat,MSR,low,1110,287,519,744,1210,1481,1718,2202,2748,3032,3322,3886,4456,1,1
America,Montserrat,Montserrat,MSR,mean,1110,898,1481,2014,3322,3986,4660,5952,7233,7835,8427,9680,10881,1,2
America,Montserrat,Montserrat,MSR,high,1110,1553,2497,3488,5584,6603,7600,9493,11403,12377,13300,15179,16980,1,3
America,Nicaragua,Nicaragua,NIC,low,33338632,20433862,31706629,42330304,62486455,72615185,82834885,103587261,127530510,143490592,162691668,173263658,173263658,1,1
America,Nicaragua,Nicaragua,NIC,mean,33338632,38522207,56960177,75395643,113554543,138735191,173263658,173263658,173263658,173263658,173263658,173263658,173263658,1,2
America,Nicaragua,Nicaragua,NIC,high,33338632,55161800,81886264,109523001,173263658,173263658,173263658,173263658,173263658,173263658,173263658,173263658,173263658,1,3
America,Panama,Panama,PAN,low,6524044,4804989,7245665,9677721,14605309,17164362,19803271,25367192,31259585,34329245,37484908,44030370,50870514,1,1
America,Panama,Panama,PAN,mean,6524044,6662911,10024288,13408672,20572404,24412804,28410194,36869274,45944905,50694468,55585098,65789788,76615626,1,2
America,Panama,Panama,PAN,high,6524044,8519198,12813392,17283496,27009458,32265258,37776796,49528381,62195224,68885499,75835940,90488794,106215963,1,3
America,Paraguay,Paraguay,PRY,low,18518936,10878534,15834748,20432768,29179330,33515867,37770102,45950327,51447778,51447778,51447778,51447778,51447778,1,1
America,Paraguay,Paraguay,PRY,mean,18518936,18874841,26912982,34826650,49847818,51447778,51447778,51447778,51447778,51447778,51447778,51447778,51447778,1,2
America,Paraguay,Paraguay,PRY,high,18518936,26153456,37593639,48417120,51447778,51447778,51447778,51447778,51447778,51447778,51447778,51447778,51447778,1,3
America,Peru,Peru,PER,low,121861695,106359557,159560190,213460656,321133986,375272104,429725411,538971313,648138064,702685729,757195285,866177028,974734823,1,1
America,Peru,Peru,PER,mean,121861695,125204794,188472638,251990514,379215673,443405397,507806381,636556339,765115803,829347245,893527024,1021213229,1148372764,1,2
America,Peru,Peru,PER,high,121861695,144244207,217371858,290437029,437637572,511786726,585998944,734040737,881970221,955618789,1029016941,1175464067,1321826973,1,3
America,Puerto Rico,Puerto Rico,PRI,low,1031894,274676,456552,663207,1124565,1369363,1622188,2144817,2685422,2965311,3250215,3834976,4443617,1,1
America,Puerto Rico,Puerto Rico,PRI,mean,1031894,822556,1385774,1992111,3287317,3980292,4706493,6257097,7957109,8864752,9814112,11869222,13480988,1,2
America,Puerto Rico,Puerto Rico,PRI,high,1031894,1475087,2446821,3492519,5817645,7110521,8498886,11599870,13480988,13480988,13480988,13480988,13480988,1,3
America,Saint Kitts and N.,Saint Kitts and N.,KNA,low,6301,458,1129,1922,3892,4905,5958,8294,10773,12046,13321,15855,18523,1,1
America,Saint Kitts and N.,Saint Kitts and N.,KNA,mean,6301,3539,6532,9943,17195,20947,24859,32808,41064,45311,49596,58481,67694,1,2
